Prob(X),Number of Pairs,Confidence Level (alpha),Time
0.00390625,31,0.5,31
0.00390625,32,0.5,30
0.00390625,1,0.75,>1000
0.00390625,2,0.75,893
0.00390625,3,0.75,596
0.00390625,4,0.75,448
0.00390625,5,0.75,359
0.00390625,6,0.75,299
0.00390625,7,0.75,257
0.00390625,8,0.75,225
0.00390625,9,0.75,200
0.00390625,10,0.75,180
0.00390625,11,0.75,164
0.00390625,12,0.75,151
0.00390625,13,0.75,139
0.00390625,14,0.75,129
0.00390625,15,0.75,121
0.00390625,16,0.75,113
0.00390625,17,0.75,107
0.00390625,18,0.75,101
0.00390625,19,0.75,96
0.00390625,20,0.75,91
0.00390625,21,0.75,87
0.00390625,22,0.75,83
0.00390625,23,0.75,79
0.00390625,24,0.75,76
0.00390625,25,0.75,73
0.00390625,26,0.75,71
0.00390625,27,0.75,68
0.00390625,28,0.75,66
0.00390625,29,0.75,63
0.00390625,30,0.75,61
0.00390625,31,0.75,59
0.00390625,32,0.75,58
0.00390625,1,0.95,>1000
0.00390625,2,0.95,>1000
0.00390625,3,0.95,>1000
0.00390625,4,0.95,965
0.00390625,5,0.95,773
0.00390625,6,0.95,644
0.00390625,7,0.95,552
0.00390625,8,0.95,484
0.00390625,9,0.95,430
0.00390625,10,0.95,387
0.00390625,11,0.95,352
0.00390625,12,0.95,323
0.00390625,13,0.95,298
0.00390625,14,0.95,277
0.00390625,15,0.95,259
0.00390625,16,0.95,243
0.00390625,17,0.95,229
0.00390625,18,0.95,216
0.00390625,19,0.95,205
0.00390625,20,0.95,195
0.00390625,21,0.95,185
0.00390625,22,0.95,177
0.00390625,23,0.95,169
0.00390625,24,0.95,162
0.00390625,25,0.95,156
0.00390625,26,0.95,150
0.00390625,27,0.95,145
0.00390625,28,0.95,140
0.00390625,29,0.95,135
0.00390625,30,0.95,130
0.00390625,31,0.95,126
0.00390625,32,0.95,122
